split,model,dimension,segment,sample_count,mean_actual,mean_predicted,mean_residual,mae
oof,Random Forest,gw,23,1076,2.1728624535315983,2.2006437060353927,-0.027781252503794103,1.8726033320681128
oof,Random Forest,gw,24,1105,2.2733031674208144,2.206690748943965,0.06661241847684965,1.8928691286972708
oof,Random Forest,gw,25,1103,2.2783318223028104,2.3502665086923726,-0.0719346863895619,1.8610497074787113
oof,Random Forest,gw,26,1101,2.1335149863760217,2.1118465880458577,0.02166839833016378,1.8217199137525355
oof,Random Forest,gw,27,1092,2.2976190476190474,2.1437959171976435,0.1538231304214039,1.8267447049252128
oof,Random Forest,gw,28,1081,2.18686401480111,2.2500481067460614,-0.06318409194495142,1.7578964290274213
oof,Random Forest,gw,29,1079,1.6302131603336423,1.6110436647967963,0.01916949553684624,1.3285463165598048
oof,Random Forest,gw,30,1048,2.256679389312977,1.978605109705045,0.2780742796079322,1.805522845339161
oof,Random Forest,gw,31,1057,2.109744560075686,2.0070324796910857,0.10271208038460031,1.6593817724018411
oof,Random Forest,gw,32,1053,2.3304843304843303,2.1766761848233434,0.15380814566098733,1.8688891568160613
oof,Random Forest,gw,33,1056,2.7140151515151514,2.580474341329701,0.13354081018545025,2.067850118736172
oof,Random Forest,gw,34,1062,2.1732580037664784,1.9907039485992086,0.1825540551672697,1.750756401019384
oof,Random Forest,gw,35,1072,2.2220149253731343,2.176832565863686,0.04518235950944861,1.7871781236058455
oof,Random Forest,gw,36,1081,2.436632747456059,2.273102592861041,0.1635301545950186,1.9031538833178052
oof,Random Forest,gw,37,1085,2.447926267281106,2.374774200936515,0.0731520663445911,1.8984614896654994
oof,Random Forest,gw,38,1082,2.2264325323475047,2.224475107924416,0.0019574244230884455,1.9012686544394934
oof,Random Forest,season_stage,GW1-5,3478,2.4853364002300173,2.3732140102974064,0.1121223899326108,1.9149584451581527
oof,Random Forest,season_stage,GW6-10,5399,2.205408408964623,2.2105383596467387,-0.00512995068211561,1.7896477865145373
oof,Random Forest,season_stage,GW11+,30140,2.2396483078964833,2.165392264394179,0.07425604350230357,1.8294860171720626
oof,Ridge,position,DEF,13899,1.9897114900352544,1.8293420072114586,0.16036948282379557,1.8294361583952432
oof,Ridge,position,FWD,4297,2.6797765883174307,2.4742281682543363,0.2055484200630947,2.1227577804856264
oof,Ridge,position,GK,2805,2.492691622103387,2.601889471302884,-0.10919784919949754,1.9238256484692617
